state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,precipitation,humidity,soil_type,N,P,K,production
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Arhar/Tur,21400,23.78,3.12,1012,84,sandy,1.6,2,0,2600
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Bajra,1400,23.78,3.12,1012,84,loamy,1.775,0,0,500
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Castor seed,1000,23.78,3.12,1012,84,silt,2.484,2.484,0,100
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Dry chillies,3700,23.78,3.12,1012,84,peaty,843.64,0,0,7100
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Groundnut,650800,23.78,3.12,1012,84,silt,6.39,16.33,0,228400
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Horse-gram,3300,23.78,3.12,1012,84,silty,50.673,0,0,1000
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Jowar,10100,23.78,3.12,1012,84,silt,8.54,8.54,0,10200
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Korra,2200,23.78,3.12,1012,84,silt,2.535,2.535,2.535,700
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Maize,2800,23.78,3.12,1012,84,peaty,38.25,38.25,38.25,4900
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Moong(Green Gram),1300,23.78,3.12,1012,84,silty,0,25.136,0,500
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Other Kharif pulses,800,23.78,3.12,1012,84,chalky,7.36,19.136,19.136,100
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Ragi,6700,23.78,3.12,1012,84,silt,16.008,42.688,21.344,11800
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Rice,35600,23.78,3.12,1012,84,sandy,6.44,6.44,0,75400
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Sugarcane,700,23.78,3.12,1012,84,silt,3.304,8.26,3.304,72900
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Sunflower,35900,23.78,3.12,1012,84,chalky,0.152,0.152,0.152,11100
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Tobacco,200,23.78,3.12,1012,84,chalky,4,5,0,200
